name,country,icao,latitude,longitude,elevation,longest_runway,magnetic_variation,airport_type,beacon,fuel_types,landing_fee,oxygen,repairs
LIVINGSTON MUN,United States,00R,30.68586111,-95.01791667,151,3704,5.1,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CHILTON CO,United States,02A,32.85048333,-86.61143333,585,4007,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
COLUMBIANA CO,United States,02G,40.67330556,-80.64141667,1161,3503,-8,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
MEMPHIS MEML,United States,03D,40.44725,-92.22694444,813,3300,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
FIELD OF DREAMS,United States,04W,46.02293889,-92.89522222,1021,2751,0,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
HAWLEY MUN,United States,04Y,46.88377778,-96.35061111,1210,3398,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle",Major Engine
GRIFFITH-MERRILLVILLE,United States,05C,41.51984167,-87.39950833,634,4899,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"High Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
EUREKA,United States,05U,39.60375,-116.0036111,5958,7300,13,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MOTON MUN,United States,06A,32.46047222,-85.68002778,264,5005,-3,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ROLLA MUN,United States,06D,48.88441667,-99.62075,1823,4300,5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
RANDALL,United States,06N,41.43191111,-74.39156111,523,2810,-13,Public/civil,FALSE,JET 5,FALSE,Low Pressure Bottle,Major Engine
GLADEWATER MUN,United States,07F,32.52883333,-94.97175,297,3299,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
CENTRAL CITY MUNI-LARRY REINEKE FIELD,United States,07K,41.11261111,-98.05172222,1717,3700,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
WETUMPKA MUN,United States,08A,32.52733333,-86.33102778,197,3013,-3,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
STANLEY MUN,United States,08D,48.3008,-102.4063528,2245,3900,10,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
HARVARD STATE,United States,08K,40.65133333,-98.07988889,1815,3722,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
KELLER BROTHERS,United States,08N,40.29155278,-76.32874722,550,2692,-12,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
BUTLER-CHOCTAW CO,United States,09A,32.11930556,-88.12747222,134,4082,-3,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
JEKYLL ISLAND,United States,09J,31.07447222,-81.42777778,11,3715,-5,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
SMITHVILLE MUN,United States,0A3,35.98544444,-85.80911111,1084,4257,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
BIBB CO,United States,0A8,32.93693889,-87.09054722,251,4206,-2,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
ELIZABETHTON MUN,United States,0A9,36.37122222,-82.17341667,1593,4529,-6,Public/civil,FALSE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
HARTINGTON MUN/BUD BECKER,United States,0B4,42.60308333,-97.2535,1388,3950,6,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Minor Engine, Major Airframe, Major Engine"
TURNERS FALLS,United States,0B5,42.59161111,-72.523,359,3200,-15,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ELIZABETH,United States,0B8,41.25130833,-72.03161111,9,2328,-14,Public/civil,FALSE,JET 5,TRUE,Low Pressure Bottle,Major Engine
PENDER MUN,United States,0C4,42.11341944,-96.72781389,1345,3600,4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
GETTYSBURG MUN,United States,0D8,44.98661111,-99.95288889,2062,4400,8,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MORIARTY MUN,United States,0E0,34.97816667,-106.0000278,6204,7702,11,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
BOWIE MUN,United States,0F2,33.60166667,-97.77555556,1101,3603,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
LOUP CITY MUN,United States,0F4,41.28636111,-98.99002778,2073,3900,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
TECUMSEH MUN,United States,0G3,40.40094444,-96.17044444,1306,3501,6,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
WILLIAMS CO,United States,0G6,41.46730556,-84.50677778,730,4782,-5,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
FINGER LAKES REGL,United States,0G7,42.88355556,-76.78116667,492,4592,-12,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
TREGO WAKEENEY,United States,0H1,39.00652778,-99.89294444,2439,4008,5,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
BRAZIL CLAY CO,United States,0I2,39.47673611,-87.09970833,645,2941,-3.8,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
CYNTHIANA-HARRISON CO,United States,0I8,38.36616389,-84.28334444,721,3850,-6,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
FLORALA MUN,United States,0J4,31.042475,-86.31156111,314,3197,-2,Public/civil,FALSE,JET 5,TRUE,"High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
HEADLAND MUN,United States,0J6,31.36413889,-85.31252778,359,5002,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,Major Engine
FREE MUN,United States,0M0,33.88452778,-91.53427778,164,5003,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
BAKER,United States,0M3,35.54597222,-87.59733333,972,4001,-1,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
BENTON CO,United States,0M4,36.00954167,-88.12472778,468,5001,-2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
HUMPHREYS CO,United States,0M5,36.11661111,-87.73816667,756,4000,-2,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",FALSE,Low Pressure Bottle,Major Engine
COLUMBIA-MARION CO,United States,0R0,31.297,-89.81283333,265,4460,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
ATMORE MUN,United States,0R1,31.01622222,-87.44675,286,5001,-3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CONCORDIA PARISH,United States,0R4,31.562,-91.50647222,55,3701,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
JOYCE,United States,0R5,31.96366111,-92.66026111,146,3002,2,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
THE RED RIVER,United States,0R7,31.99027778,-93.30761111,177,5002,1,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
JEFFERSON CO INTL,United States,0S9,48.05380556,-122.8106389,110,3000,16,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
PIONEER VILLAGE,United States,0V3,40.51491667,-98.94563889,2160,3900,7,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
BROOKNEAL-CAMPBELL CO,United States,0V4,37.14172222,-79.01638889,597,3798,-9,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
LEE CO,United States,0VG,36.65408333,-83.21783333,1411,5003,-6,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
HARFORD CO,United States,0W3,39.56688056,-76.202475,409,2000,-11,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
GALT,United States,10C,42.40288889,-88.37511111,875,2802,-2,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
HOLMES CO,United States,10G,40.5367,-81.95594167,1227,4400,-8,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CLAYTON MUN,United States,11A,31.88333333,-85.48522222,435,5010,-4,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
BRENHAM MUN,United States,11R,30.219675,-96.37440278,318,6003,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
TOWER MUN,United States,12D,47.81815556,-92.28606667,1370,3400,2,Public/civil,FALSE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
SHELBY COMMUNITY,United States,12G,40.87286111,-82.69738889,1120,3174,-6.4,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
BREWTON MUN,United States,12J,31.05083333,-87.06597222,99,5136,-1,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
